"displacement0","displacement:1","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.2433e-18,-0.05,4.3618,1,0,0,1,0
0.00010103,-0.05,2.7959,1,0.01,0.01,1,1.2246e-18
0.00020204,-0.05,1.5767,1,0.02,0.02,1,2.4493e-18
0.00030306,-0.05,0.70435,1,0.03,0.03,1,3.6739e-18
0.00040407,-0.05,0.17878,1,0.04,0.04,1,4.8986e-18
0.00050507,-0.05,0,1,0.05,0.05,1,6.1232e-18
0.00060607,-0.05,0.168,1,0.06,0.06,1,7.3479e-18
0.00070706,-0.05,0.68279,1,0.07,0.07,1,8.5725e-18
0.00080804,-0.05,1.5444,1,0.08,0.08,1,9.7972e-18
0.00090902,-0.05,2.7527,1,0.09,0.09,1,1.1022e-17
0.00101,-0.05,4.3079,1,0.1,0.1,1,1.2246e-17
0.0011109,-0.05,2.7698,1,0.11,0.11,1,1.3471e-17
0.0012118,-0.05,1.57,1,0.12,0.12,1,1.4696e-17
0.0013127,-0.05,0.70842,1,0.13,0.13,1,1.592e-17
0.0014137,-0.05,0.18509,1,0.14,0.14,1,1.7145e-17
0.0015146,-0.05,0,1,0.15,0.15,1,1.837e-17
0.0016155,-0.05,0.15315,1,0.16,0.16,1,1.9594e-17
0.0017164,-0.05,0.64454,1,0.17,0.17,1,2.0819e-17
0.0018174,-0.05,1.4742,1,0.18,0.18,1,2.2044e-17
0.0019183,-0.05,2.642,1,0.19,0.19,1,2.3268e-17
0.0020192,-0.05,4.1482,1,0.2,0.2,1,2.4493e-17
0.00212,-0.05,2.6755,1,0.21,0.21,1,2.5718e-17
0.0022209,-0.05,1.5244,1,0.22,0.22,1,2.6942e-17
0.0023217,-0.05,0.69478,1,0.23,0.23,1,2.8167e-17
0.0024225,-0.05,0.18664,1,0.24,0.24,1,2.9392e-17
0.0025233,-0.05,0,1,0.25,0.25,1,3.0616e-17
0.0026242,-0.05,0.13485,1,0.26,0.26,1,3.1841e-17
0.002725,-0.05,0.59119,1,0.27,0.27,1,3.3065e-17
0.0028259,-0.05,1.369,1,0.28,0.28,1,3.429e-17
0.0029267,-0.05,2.4684,1,0.29,0.29,1,3.5515e-17
0.0030276,-0.05,3.8892,1,0.3,0.3,1,3.6739e-17
0.0031283,-0.05,2.5172,1,0.31,0.31,1,3.7964e-17
0.003229,-0.05,1.4422,1,0.32,0.32,1,3.9189e-17
0.0033297,-0.05,0.6644,1,0.33,0.33,1,4.0413e-17
0.0034305,-0.05,0.18366,1,0.34,0.34,1,4.1638e-17
0.0035312,-0.05,0,1,0.35,0.35,1,4.2863e-17
0.0036319,-0.05,0.11343,1,0.36,0.36,1,4.4087e-17
0.0037327,-0.05,0.52396,1,0.37,0.37,1,4.5312e-17
0.0038335,-0.05,1.2316,1,0.38,0.38,1,4.6537e-17
0.0039342,-0.05,2.2363,1,0.39,0.39,1,4.7761e-17
0.004035,-0.05,3.5381,1,0.4,0.4,1,4.8986e-17
0.0041356,-0.05,2.2992,1,0.41,0.41,1,5.0211e-17
0.0042362,-0.05,1.3259,1,0.42,0.42,1,5.1435e-17
0.0043368,-0.05,0.61832,1,0.43,0.43,1,5.266e-17
0.0044374,-0.05,0.17634,1,0.44,0.44,1,5.3884e-17
0.004538,-0.05,0,1,0.45,0.45,1,5.5109e-17
0.0046387,-0.05,0.089292,1,0.46,0.46,1,5.6334e-17
0.0047393,-0.05,0.44422,1,0.47,0.47,1,5.7558e-17
0.00484,-0.05,1.0648,1,0.48,0.48,1,5.8783e-17
0.0049407,-0.05,1.951,1,0.49,0.49,1,6.0008e-17
0.0050414,-0.05,3.1028,1,0.5,0.5,1,6.1232e-17
0.0051418,-0.05,2.0266,1,0.51,0.51,1,6.2457e-17
0.0052422,-0.05,1.1783,1,0.52,0.52,1,6.3682e-17
0.0053427,-0.05,0.55772,1,0.53,0.53,1,6.4906e-17
0.0054432,-0.05,0.16496,1,0.54,0.54,1,6.6131e-17
0.0055437,-0.05,0,1,0.55,0.55,1,6.7356e-17
0.0056442,-0.05,0.062846,1,0.56,0.56,1,6.858e-17
0.0057447,-0.05,0.35349,1,0.57,0.57,1,6.9805e-17
0.0058453,-0.05,0.87194,1,0.58,0.58,1,7.103e-17
0.0059459,-0.05,1.6182,1,0.59,0.59,1,7.2254e-17
0.0060465,-0.05,2.5923,1,0.6,0.6,1,7.3479e-17
