"displacement0","displacement1","pressure","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.023801,-0.032,0,1,1,1,0.64,0
0.023353,-0.032,0,1,2,1,0.64,0
0.022992,-0.032,0,1,3,1,0.64,0
0.022687,-0.032,0,1,4,1,0.64,0
0.022419,-0.032,0,1,5,1,0.64,0
0.022179,-0.032,0,1,6,1,0.64,0
0.021961,-0.032,0,1,7,1,0.64,0
0.02176,-0.032,0,1,8,1,0.64,0
0.021573,-0.032,0,1,9,1,0.64,0
0.021399,-0.032,0,1,10,1,0.64,0
0.021235,-0.032,0,1,11,1,0.64,0
0.02108,-0.032,0,1,12,1,0.64,0
0.020933,-0.032,0,1,13,1,0.64,0
0.020793,-0.032,0,1,14,1,0.64,0
0.02066,-0.032,0,1,15,1,0.64,0
0.020533,-0.032,0,1,16,1,0.64,0
0.020411,-0.032,0,1,17,1,0.64,0
0.020294,-0.032,0,1,18,1,0.64,0
0.020181,-0.032,0,1,19,1,0.64,0
0.020073,-0.032,0,1,20,1,0.64,0
0.019969,-0.032,0,1,21,1,0.64,0
0.019868,-0.032,0,1,22,1,0.64,0
0.01977,-0.032,0,1,23,1,0.64,0
0.019676,-0.032,0,1,24,1,0.64,0
0.019584,-0.032,0,1,25,1,0.64,0
0.019496,-0.032,0,1,26,1,0.64,0
0.01941,-0.032,0,1,27,1,0.64,0
0.019326,-0.032,0,1,28,1,0.64,0
0.019245,-0.032,0,1,29,1,0.64,0
0.019166,-0.032,0,1,30,1,0.64,0
0.019089,-0.032,0,1,31,1,0.64,0
0.019014,-0.032,0,1,32,1,0.64,0
0.018941,-0.032,0,1,33,1,0.64,0
0.01887,-0.032,0,1,34,1,0.64,0
0.0188,-0.032,0,1,35,1,0.64,0
0.018732,-0.032,0,1,36,1,0.64,0
0.018665,-0.032,0,1,37,1,0.64,0
0.0186,-0.032,0,1,38,1,0.64,0
0.018536,-0.032,0,1,39,1,0.64,0
0.018474,-0.032,0,1,40,1,0.64,0
0.018413,-0.032,0,1,41,1,0.64,0
0.018353,-0.032,0,1,42,1,0.64,0
0.018294,-0.032,0,1,43,1,0.64,0
0.018236,-0.032,0,1,44,1,0.64,0
0.018179,-0.032,0,1,45,1,0.64,0
0.018123,-0.032,0,1,46,1,0.64,0
0.018068,-0.032,0,1,47,1,0.64,0
0.018014,-0.032,0,1,48,1,0.64,0
0.017961,-0.032,0,1,49,1,0.64,0
0.017909,-0.032,0,1,50,1,0.64,0
0.017858,-0.032,0,1,51,1,0.64,0
0.017807,-0.032,0,1,52,1,0.64,0
0.017757,-0.032,0,1,53,1,0.64,0
0.017708,-0.032,0,1,54,1,0.64,0
0.017659,-0.032,0,1,55,1,0.64,0
0.017611,-0.032,0,1,56,1,0.64,0
0.017564,-0.032,0,1,57,1,0.64,0
0.017517,-0.032,0,1,58,1,0.64,0
0.017471,-0.032,0,1,59,1,0.64,0
0.017426,-0.032,0,1,60,1,0.64,0
0.017381,-0.032,0,1,61,1,0.64,0
0.017336,-0.032,0,1,62,1,0.64,0
0.017292,-0.032,0,1,63,1,0.64,0
0.017249,-0.032,0,1,64,1,0.64,0
0.017206,-0.032,0,1,65,1,0.64,0
0.017163,-0.032,0,1,66,1,0.64,0
0.017121,-0.032,0,1,67,1,0.64,0
0.017079,-0.032,0,1,68,1,0.64,0
0.017038,-0.032,0,1,69,1,0.64,0
0.016997,-0.032,0,1,70,1,0.64,0
0.016957,-0.032,0,1,71,1,0.64,0
0.016916,-0.032,0,1,72,1,0.64,0
0.016877,-0.032,0,1,73,1,0.64,0
0.016837,-0.032,0,1,74,1,0.64,0
0.016798,-0.032,0,1,75,1,0.64,0
0.01676,-0.032,0,1,76,1,0.64,0
0.016721,-0.032,0,1,77,1,0.64,0
0.016683,-0.032,0,1,78,1,0.64,0
0.016646,-0.032,0,1,79,1,0.64,0
0.016608,-0.032,0,1,80,1,0.64,0
0.016571,-0.032,0,1,81,1,0.64,0
0.016534,-0.032,0,1,82,1,0.64,0
0.016498,-0.032,0,1,83,1,0.64,0
0.016461,-0.032,0,1,84,1,0.64,0
0.016425,-0.032,0,1,85,1,0.64,0
0.01639,-0.032,0,1,86,1,0.64,0
0.016354,-0.032,0,1,87,1,0.64,0
0.016319,-0.032,0,1,88,1,0.64,0
0.016284,-0.032,0,1,89,1,0.64,0
0.016249,-0.032,0,1,90,1,0.64,0
0.016215,-0.032,0,1,91,1,0.64,0
0.016181,-0.032,0,1,92,1,0.64,0
0.016147,-0.032,0,1,93,1,0.64,0
0.016113,-0.032,0,1,94,1,0.64,0
0.016079,-0.032,0,1,95,1,0.64,0
0.016046,-0.032,0,1,96,1,0.64,0
0.016013,-0.032,0,1,97,1,0.64,0
0.01598,-0.032,0,1,98,1,0.64,0
0.015947,-0.032,0,1,99,1,0.64,0
0.015915,-0.032,0,1,100,1,0.64,0
