"displacement0","displacement:1","pressure","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.021796,-0.03,0,1,10,1,0.6,0
0.020396,-0.03,0,1,20,1,0.6,0
0.019437,-0.03,0,1,30,1,0.6,0
0.018702,-0.03,0,1,40,1,0.6,0
0.018102,-0.03,0,1,50,1,0.6,0
0.017591,-0.03,0,1,60,1,0.6,0
0.017143,-0.03,0,1,70,1,0.6,0
0.016739,-0.03,0,1,80,1,0.6,0
0.01637,-0.03,0,1,90,1,0.6,0
0.016029,-0.03,0,1,100,1,0.6,0
0.015711,-0.03,0,1,110,1,0.6,0
0.015413,-0.03,0,1,120,1,0.6,0
0.015132,-0.03,0,1,130,1,0.6,0
0.014867,-0.03,0,1,140,1,0.6,0
0.014616,-0.03,0,1,150,1,0.6,0
0.014379,-0.03,0,1,160,1,0.6,0
0.014154,-0.03,0,1,170,1,0.6,0
0.013941,-0.03,0,1,180,1,0.6,0
0.013739,-0.03,0,1,190,1,0.6,0
0.013548,-0.03,0,1,200,1,0.6,0
0.013366,-0.03,0,1,210,1,0.6,0
0.013194,-0.03,0,1,220,1,0.6,0
0.01303,-0.03,0,1,230,1,0.6,0
0.012875,-0.03,0,1,240,1,0.6,0
0.012728,-0.03,0,1,250,1,0.6,0
0.012588,-0.03,0,1,260,1,0.6,0
0.012456,-0.03,0,1,270,1,0.6,0
0.01233,-0.03,0,1,280,1,0.6,0
0.012211,-0.03,0,1,290,1,0.6,0
0.012098,-0.03,0,1,300,1,0.6,0
0.01199,-0.03,0,1,310,1,0.6,0
0.011889,-0.03,0,1,320,1,0.6,0
0.011792,-0.03,0,1,330,1,0.6,0
0.0117,-0.03,0,1,340,1,0.6,0
0.011613,-0.03,0,1,350,1,0.6,0
0.011531,-0.03,0,1,360,1,0.6,0
0.011452,-0.03,0,1,370,1,0.6,0
0.011378,-0.03,0,1,380,1,0.6,0
0.011307,-0.03,0,1,390,1,0.6,0
0.011241,-0.03,0,1,400,1,0.6,0
0.011177,-0.03,0,1,410,1,0.6,0
0.011117,-0.03,0,1,420,1,0.6,0
0.01106,-0.03,0,1,430,1,0.6,0
0.011005,-0.03,0,1,440,1,0.6,0
0.010954,-0.03,0,1,450,1,0.6,0
0.010905,-0.03,0,1,460,1,0.6,0
0.010859,-0.03,0,1,470,1,0.6,0
0.010815,-0.03,0,1,480,1,0.6,0
0.010773,-0.03,0,1,490,1,0.6,0
0.010734,-0.03,0,1,500,1,0.6,0
0.010696,-0.03,0,1,510,1,0.6,0
0.01066,-0.03,0,1,520,1,0.6,0
0.010627,-0.03,0,1,530,1,0.6,0
0.010595,-0.03,0,1,540,1,0.6,0
0.010564,-0.03,0,1,550,1,0.6,0
0.010535,-0.03,0,1,560,1,0.6,0
0.010508,-0.03,0,1,570,1,0.6,0
0.010482,-0.03,0,1,580,1,0.6,0
0.010457,-0.03,0,1,590,1,0.6,0
0.010434,-0.03,0,1,600,1,0.6,0
0.010412,-0.03,0,1,610,1,0.6,0
0.010391,-0.03,0,1,620,1,0.6,0
0.010371,-0.03,0,1,630,1,0.6,0
0.010352,-0.03,0,1,640,1,0.6,0
0.010334,-0.03,0,1,650,1,0.6,0
0.010317,-0.03,0,1,660,1,0.6,0
0.0103,-0.03,0,1,670,1,0.6,0
0.010285,-0.03,0,1,680,1,0.6,0
0.01027,-0.03,0,1,690,1,0.6,0
0.010257,-0.03,0,1,700,1,0.6,0
0.010243,-0.03,0,1,710,1,0.6,0
0.010231,-0.03,0,1,720,1,0.6,0
0.010219,-0.03,0,1,730,1,0.6,0
0.010208,-0.03,0,1,740,1,0.6,0
0.010197,-0.03,0,1,750,1,0.6,0
0.010187,-0.03,0,1,760,1,0.6,0
0.010178,-0.03,0,1,770,1,0.6,0
0.010169,-0.03,0,1,780,1,0.6,0
0.01016,-0.03,0,1,790,1,0.6,0
0.010152,-0.03,0,1,800,1,0.6,0
0.010144,-0.03,0,1,810,1,0.6,0
0.010137,-0.03,0,1,820,1,0.6,0
0.01013,-0.03,0,1,830,1,0.6,0
0.010123,-0.03,0,1,840,1,0.6,0
0.010117,-0.03,0,1,850,1,0.6,0
0.010111,-0.03,0,1,860,1,0.6,0
0.010105,-0.03,0,1,870,1,0.6,0
0.0101,-0.03,0,1,880,1,0.6,0
0.010095,-0.03,0,1,890,1,0.6,0
0.01009,-0.03,0,1,900,1,0.6,0
0.010085,-0.03,0,1,910,1,0.6,0
0.010081,-0.03,0,1,920,1,0.6,0
0.010077,-0.03,0,1,930,1,0.6,0
0.010073,-0.03,0,1,940,1,0.6,0
0.010069,-0.03,0,1,950,1,0.6,0
0.010065,-0.03,0,1,960,1,0.6,0
0.010062,-0.03,0,1,970,1,0.6,0
0.010059,-0.03,0,1,980,1,0.6,0
0.010056,-0.03,0,1,990,1,0.6,0
0.010053,-0.03,0,1,1000,1,0.6,0
