"displacement0","displacement:1","pressure","vtkValidPointMask","Time","Point Coordinates:0","Point Coordinates:1","Point Coordinates:2"
0.021065,-0.027483,0,1,10,1,0.54967,0
0.019369,-0.027483,0,1,20,1,0.54967,0
0.018085,-0.027483,0,1,30,1,0.54967,0
0.017028,-0.027483,0,1,40,1,0.54967,0
0.016129,-0.027483,0,1,50,1,0.54967,0
0.015353,-0.027483,0,1,60,1,0.54967,0
0.014678,-0.027483,0,1,70,1,0.54967,0
0.01409,-0.027483,0,1,80,1,0.54967,0
0.013576,-0.027483,0,1,90,1,0.54967,0
0.013127,-0.027483,0,1,100,1,0.54967,0
0.012735,-0.027483,0,1,110,1,0.54967,0
0.012392,-0.027483,0,1,120,1,0.54967,0
0.012091,-0.027483,0,1,130,1,0.54967,0
0.011829,-0.027483,0,1,140,1,0.54967,0
0.011599,-0.027483,0,1,150,1,0.54967,0
0.011399,-0.027483,0,1,160,1,0.54967,0
0.011223,-0.027483,0,1,170,1,0.54967,0
0.01107,-0.027483,0,1,180,1,0.54967,0
0.010935,-0.027483,0,1,190,1,0.54967,0
0.010818,-0.027483,0,1,200,1,0.54967,0
0.010715,-0.027483,0,1,210,1,0.54967,0
0.010626,-0.027483,0,1,220,1,0.54967,0
0.010547,-0.027483,0,1,230,1,0.54967,0
0.010478,-0.027483,0,1,240,1,0.54967,0
0.010418,-0.027483,0,1,250,1,0.54967,0
0.010366,-0.027483,0,1,260,1,0.54967,0
0.01032,-0.027483,0,1,270,1,0.54967,0
0.01028,-0.027483,0,1,280,1,0.54967,0
0.010245,-0.027483,0,1,290,1,0.54967,0
0.010214,-0.027483,0,1,300,1,0.54967,0
0.010187,-0.027483,0,1,310,1,0.54967,0
0.010164,-0.027483,0,1,320,1,0.54967,0
0.010143,-0.027483,0,1,330,1,0.54967,0
0.010125,-0.027483,0,1,340,1,0.54967,0
0.010109,-0.027483,0,1,350,1,0.54967,0
0.010096,-0.027483,0,1,360,1,0.54967,0
0.010084,-0.027483,0,1,370,1,0.54967,0
0.010073,-0.027483,0,1,380,1,0.54967,0
0.010064,-0.027483,0,1,390,1,0.54967,0
0.010056,-0.027483,0,1,400,1,0.54967,0
0.010049,-0.027483,0,1,410,1,0.54967,0
0.010043,-0.027483,0,1,420,1,0.54967,0
0.010037,-0.027483,0,1,430,1,0.54967,0
0.010033,-0.027483,0,1,440,1,0.54967,0
0.010029,-0.027483,0,1,450,1,0.54967,0
0.010025,-0.027483,0,1,460,1,0.54967,0
0.010022,-0.027483,0,1,470,1,0.54967,0
0.010019,-0.027483,0,1,480,1,0.54967,0
0.010017,-0.027483,0,1,490,1,0.54967,0
0.010015,-0.027483,0,1,500,1,0.54967,0
0.010013,-0.027483,0,1,510,1,0.54967,0
0.010011,-0.027483,0,1,520,1,0.54967,0
0.01001,-0.027483,0,1,530,1,0.54967,0
0.010009,-0.027483,0,1,540,1,0.54967,0
0.010007,-0.027483,0,1,550,1,0.54967,0
0.010007,-0.027483,0,1,560,1,0.54967,0
0.010006,-0.027483,0,1,570,1,0.54967,0
0.010005,-0.027483,0,1,580,1,0.54967,0
0.010004,-0.027483,0,1,590,1,0.54967,0
0.010004,-0.027483,0,1,600,1,0.54967,0
0.010003,-0.027483,0,1,610,1,0.54967,0
0.010003,-0.027483,0,1,620,1,0.54967,0
0.010003,-0.027483,0,1,630,1,0.54967,0
0.010002,-0.027483,0,1,640,1,0.54967,0
0.010002,-0.027483,0,1,650,1,0.54967,0
0.010002,-0.027483,0,1,660,1,0.54967,0
0.010001,-0.027483,0,1,670,1,0.54967,0
0.010001,-0.027483,0,1,680,1,0.54967,0
0.010001,-0.027483,0,1,690,1,0.54967,0
0.010001,-0.027483,0,1,700,1,0.54967,0
0.010001,-0.027483,0,1,710,1,0.54967,0
0.010001,-0.027483,0,1,720,1,0.54967,0
0.010001,-0.027483,0,1,730,1,0.54967,0
0.010001,-0.027483,0,1,740,1,0.54967,0
0.010001,-0.027483,0,1,750,1,0.54967,0
0.01,-0.027483,0,1,760,1,0.54967,0
0.01,-0.027483,0,1,770,1,0.54967,0
0.01,-0.027483,0,1,780,1,0.54967,0
0.01,-0.027483,0,1,790,1,0.54967,0
0.01,-0.027483,0,1,800,1,0.54967,0
0.01,-0.027483,0,1,810,1,0.54967,0
0.01,-0.027483,0,1,820,1,0.54967,0
0.01,-0.027483,0,1,830,1,0.54967,0
0.01,-0.027483,0,1,840,1,0.54967,0
0.01,-0.027483,0,1,850,1,0.54967,0
0.01,-0.027483,0,1,860,1,0.54967,0
0.01,-0.027483,0,1,870,1,0.54967,0
0.01,-0.027483,0,1,880,1,0.54967,0
0.01,-0.027483,0,1,890,1,0.54967,0
0.01,-0.027483,0,1,900,1,0.54967,0
0.01,-0.027483,0,1,910,1,0.54967,0
0.01,-0.027483,0,1,920,1,0.54967,0
0.01,-0.027483,0,1,930,1,0.54967,0
0.01,-0.027483,0,1,940,1,0.54967,0
0.01,-0.027483,0,1,950,1,0.54967,0
0.01,-0.027483,0,1,960,1,0.54967,0
0.01,-0.027483,0,1,970,1,0.54967,0
0.01,-0.027483,0,1,980,1,0.54967,0
0.01,-0.027483,0,1,990,1,0.54967,0
0.01,-0.027483,0,1,1000,1,0.54967,0
