"displacement0","displacement1","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,-0.05,626.46,1,0,0,1,0
0.00025033,-0.05,156.57,1,0.01,0.01,1,0
0.00050055,-0.05,-3.6375e-09,1,0.02,0.02,1,0
0.00075065,-0.05,156.74,1,0.03,0.03,1,0
0.0010006,-0.05,626.79,1,0.04,0.04,1,0
0.0012509,-0.05,156.59,1,0.05,0.05,1,0
0.0015009,-0.05,-2.9894e-08,1,0.06,0.06,1,0
0.0017509,-0.05,157.03,1,0.07,0.07,1,0
0.0020006,-0.05,627.68,1,0.08,0.08,1,0
0.0022509,-0.05,156.78,1,0.09,0.09,1,0
0.0025009,-0.05,4.2887e-08,1,0.1,0.1,1,0
0.0027508,-0.05,157.35,1,0.11,0.11,1,0
0.0030005,-0.05,628.83,1,0.12,0.12,1,0
0.0032507,-0.05,157.05,1,0.13,0.13,1,0
0.0035008,-0.05,1.8639e-08,1,0.14,0.14,1,0
0.0037506,-0.05,157.68,1,0.15,0.15,1,0
0.0040003,-0.05,630.08,1,0.16,0.16,1,0
0.0042506,-0.05,157.36,1,0.17,0.17,1,0
0.0045006,-0.05,2.2879e-07,1,0.18,0.18,1,0
0.0047505,-0.05,158,1,0.19,0.19,1,0
0.0050002,-0.05,631.36,1,0.2,0.2,1,0
0.0052505,-0.05,157.68,1,0.21,0.21,1,0
0.0055006,-0.05,-3.823e-08,1,0.22,0.22,1,0
0.0057504,-0.05,158.32,1,0.23,0.23,1,0
0.0060001,-0.05,632.64,1,0.24,0.24,1,0
0.0062504,-0.05,158,1,0.25,0.25,1,0
0.0065005,-0.05,-3.0531e-07,1,0.26,0.26,1,0
0.0067504,-0.05,158.64,1,0.27,0.27,1,0
0.0070001,-0.05,633.92,1,0.28,0.28,1,0
0.0072503,-0.05,158.32,1,0.29,0.29,1,0
0.0075004,-0.05,3.8151e-07,1,0.3,0.3,1,0
0.0077503,-0.05,158.96,1,0.31,0.31,1,0
0.008,-0.05,635.2,1,0.32,0.32,1,0
0.0082503,-0.05,158.64,1,0.33,0.33,1,0
0.0085004,-0.05,1.1431e-07,1,0.34,0.34,1,0
0.0087503,-0.05,159.28,1,0.35,0.35,1,0
0.009,-0.05,636.48,1,0.36,0.36,1,0
