"displacement0","displacement1","pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,3.0826e-38,999.55,1,0,0,0,0
1.0055e-34,-2.4431e-07,639.74,1,0.01,0,0.01,0
1.8983e-34,-4.7708e-07,359.88,1,0.02,0,0.02,0
2.6796e-34,-6.9831e-07,159.97,1,0.03,0,0.03,0
3.3506e-34,-9.0799e-07,40.013,1,0.04,0,0.04,0
3.9123e-34,-1.1061e-06,4.4376e-13,1,0.05,0,0.05,0
4.3661e-34,-1.2927e-06,39.936,1,0.06,0,0.06,0
4.7131e-34,-1.4678e-06,159.82,1,0.07,0,0.07,0
4.9543e-34,-1.6313e-06,359.65,1,0.08,0,0.08,0
5.091e-34,-1.7832e-06,639.44,1,0.09,0,0.09,0
5.1244e-34,-1.9236e-06,999.17,1,0.1,0,0.1,0
5.7651e-34,-2.649e-06,639.6,1,0.11,0,0.11,0
6.3687e-34,-3.3244e-06,359.9,1,0.12,0,0.12,0
6.9203e-34,-3.9497e-06,160.07,1,0.13,0,0.13,0
7.4048e-34,-4.525e-06,40.1,1,0.14,0,0.14,0
7.807e-34,-5.0502e-06,1.33e-12,1,0.15,0,0.15,0
8.112e-34,-5.5255e-06,39.766,1,0.16,0,0.16,0
8.3047e-34,-5.9507e-06,159.4,1,0.17,0,0.17,0
8.3699e-34,-6.3258e-06,358.9,1,0.18,0,0.18,0
8.2926e-34,-6.6509e-06,638.27,1,0.19,0,0.19,0
8.0578e-34,-6.9261e-06,997.5,1,0.2,0,0.2,0
7.9747e-34,-9.0799e-06,638.79,1,0.21,0,0.21,0
7.6248e-34,-1.1086e-05,359.69,1,0.22,0,0.22,0
6.9781e-34,-1.2944e-05,160.19,1,0.23,0,0.23,0
6.0044e-34,-1.4655e-05,40.294,1,0.24,0,0.24,0
4.6737e-34,-1.6218e-05,2.2094e-12,1,0.25,0,0.25,0
2.956e-34,-1.7633e-05,39.309,1,0.26,0,0.26,0
8.2111e-35,-1.8901e-05,158.22,1,0.27,0,0.27,0
-1.761e-34,-2.002e-05,356.74,1,0.28,0,0.28,0
-4.8203e-34,-2.0992e-05,634.85,1,0.29,0,0.29,0
-8.387e-34,-2.1817e-05,992.57,1,0.3,0,0.3,0
-4.8405e-34,-2.7737e-05,636.28,1,0.31,0,0.31,0
-1.2451e-34,-3.327e-05,358.88,1,0.32,0,0.32,0
2.3806e-34,-3.8413e-05,160.37,1,0.33,0,0.33,0
6.018e-34,-4.3168e-05,40.74,1,0.34,0,0.34,0
9.6484e-34,-4.7534e-05,3.0726e-12,1,0.35,0,0.35,0
1.3253e-33,-5.1511e-05,38.148,1,0.36,0,0.36,0
1.6815e-33,-5.5099e-05,155.18,1,0.37,0,0.37,0
2.0313e-33,-5.8299e-05,351.11,1,0.38,0,0.38,0
2.373e-33,-6.111e-05,625.92,1,0.39,0,0.39,0
2.7048e-33,-6.3532e-05,979.62,1,0.4,0,0.4,0
2.728e-33,-7.8382e-05,629.41,1,0.41,0,0.41,0
2.6404e-33,-9.2313e-05,356.34,1,0.42,0,0.42,0
